"good go",3,"good","go"
"good god",3,"good","god"
"good good",3,"good","good"
"good im",3,"good","im"
"good know",3,"good","know"
"good littl",3,"good","littl"
"good night",3,"good","night"
"good old",3,"good","old"
"good peopl",3,"good","peopl"
"good person",3,"good","person"
"good point",3,"good","point"
"good product",3,"good","product"
"good servic",3,"good","servic"
"good team",3,"good","team"
"good though",3,"good","though"
"good week",3,"good","week"
"good year",3,"good","year"
"googl map",3,"googl","map"
"gorgeous love",3,"gorgeous","love"
"got around",3,"got","around"
"got big",3,"got","big"
"got earli",3,"got","earli"
"got guy",3,"got","guy"
"got hit",3,"got","hit"
"got kick",3,"got","kick"
"got one",3,"got","one"
"got right",3,"got","right"
"got said",3,"got","said"
"got see",3,"got","see"
"got thing",3,"got","thing"
"gotta get",3,"gotta","get"
"gotten wors",3,"gotten","wors"
"gov arnold",3,"gov","arnold"
"gov john",3,"gov","john"
"gov rick",3,"gov","rick"
"govern offici",3,"govern","offici"
"govern plan",3,"govern","plan"
"govern spend",3,"govern","spend"
"grand prix",3,"grand","prix"
"grand rapid",3,"grand","rapid"
"granit citi",3,"granit","citi"
"grant us",3,"grant","us"
"great depress",3,"great","depress"
"great feel",3,"great","feel"
"great food",3,"great","food"
"great idea",3,"great","idea"
"great im",3,"great","im"
"great love",3,"great","love"
"great quot",3,"great","quot"
"great start",3,"great","start"
"great work",3,"great","work"
"green gold",3,"green","gold"
"green light",3,"green","light"
"green pepper",3,"green","pepper"
"greenhous gas",3,"greenhous","gas"
"greet card",3,"greet","card"
"grow grow",3,"grow","grow"
"grow number",3,"grow","number"
"grow percent",3,"grow","percent"
"guess day",3,"guess","day"
"guess that",3,"guess","that"
"guest design",3,"guest","design"
"guest hous",3,"guest","hous"
"guy come",3,"guy","come"
"guy love",3,"guy","love"
"guy mean",3,"guy","mean"
"guy work",3,"guy","work"
"haha just",3,"haha","just"
"hand hand",3,"hand","hand"
"hand said",3,"hand","said"
"hang around",3,"hang","around"
"happen im",3,"happen","im"
"happen last",3,"happen","last"
"happen now",3,"happen","now"
"happen right",3,"happen","right"
"happi easter",3,"happi","easter"
"happi end",3,"happi","end"
"happi joy",3,"happi","joy"
"happi live",3,"happi","live"
"happi result",3,"happi","result"
"hard feel",3,"hard","feel"
"hard know",3,"hard","know"
"hard look",3,"hard","look"
"hard peopl",3,"hard","peopl"
"hard tri",3,"hard","tri"
"harri potter",3,"harri","potter"
"hate monday",3,"hate","monday"
"hate peopl",3,"hate","peopl"
"haunt hous",3,"haunt","hous"
"havent check",3,"havent","check"
"havent done",3,"havent","done"
"havent even",3,"havent","even"
"head toward",3,"head","toward"
"health issu",3,"health","issu"
"health scienc",3,"health","scienc"
"healthi option",3,"healthi","option"
"hear song",3,"hear","song"
"heart just",3,"heart","just"
"heaven father",3,"heaven","father"
"held pm",3,"held","pm"
"hell yeah",3,"hell","yeah"
"help can",3,"help","can"
"help children",3,"help","children"
"help creat",3,"help","creat"
"help design",3,"help","design"
"help friend",3,"help","friend"
"help keep",3,"help","keep"
"help know",3,"help","know"
"help love",3,"help","love"
"help need",3,"help","need"
"help organ",3,"help","organ"
"help other",3,"help","other"
"help women",3,"help","women"
"help work",3,"help","work"
"high court",3,"high","court"
"high expect",3,"high","expect"
"high hope",3,"high","hope"
"high recommend",3,"high","recommend"
"high street",3,"high","street"
"higher expect",3,"higher","expect"
"highland park",3,"highland","park"
"histori one",3,"histori","one"
"hit pitch",3,"hit","pitch"
"hit snooz",3,"hit","snooz"
"holiday special",3,"holiday","special"
"home depot",3,"home","depot"
"home friend",3,"home","friend"
"home hope",3,"home","hope"
"home mom",3,"home","mom"
"home now",3,"home","now"
"home place",3,"home","place"
"home said",3,"home","said"
"home see",3,"home","see"
"home work",3,"home","work"
"honest say",3,"honest","say"
"hope hope",3,"hope","hope"
"hope soon",3,"hope","soon"
"hope that",3,"hope","that"
"hope your",3,"hope","your"
"hospit staff",3,"hospit","staff"
"host us",3,"host","us"
"hot dog",3,"hot","dog"
"hot summer",3,"hot","summer"
"hour hour",3,"hour","hour"
"hour just",3,"hour","just"
"hour shift",3,"hour","shift"
"hour walk",3,"hour","walk"
"hous bill",3,"hous","bill"
"hous just",3,"hous","just"
"hous senat",3,"hous","senat"
"hous will",3,"hous","will"
"howev im",3,"howev","im"
"hudson counti",3,"hudson","counti"
"human be",3,"human","be"
"human civil",3,"human","civil"
"human natur",3,"human","natur"
"hundr thousand",3,"hundr","thousand"
"id get",3,"id","get"
"id just",3,"id","just"
"id rather",3,"id","rather"
"id still",3,"id","still"
"idea sound",3,"idea","sound"
"idea start",3,"idea","start"
"ident twin",3,"ident","twin"
"ill admit",3,"ill","admit"
"ill go",3,"ill","go"
"ill just",3,"ill","just"
"ill keep",3,"ill","keep"
"ill send",3,"ill","send"
"ill tri",3,"ill","tri"
"im actual",3,"im","actual"
"im back",3,"im","back"
"im call",3,"im","call"
"im come",3,"im","come"
"im die",3,"im","die"
"im done",3,"im","done"
"im hard",3,"im","hard"
"im hope",3,"im","hope"
"im learn",3,"im","learn"
"im love",3,"im","love"
"im much",3,"im","much"
"im say",3,"im","say"
"im scare",3,"im","scare"
"im sick",3,"im","sick"
"immedi start",3,"immedi","start"
"inch apart",3,"inch","apart"
"inch wide",3,"inch","wide"
"includ four",3,"includ","four"
"includ new",3,"includ","new"
"includ provid",3,"includ","provid"
"includ sever",3,"includ","sever"
"includ two",3,"includ","two"
"includ water",3,"includ","water"
"incorpor item",3,"incorpor","item"
"independ day",3,"independ","day"
"independ group",3,"independ","group"
"info just",3,"info","just"
"inform can",3,"inform","can"
"inform need",3,"inform","need"
"inform session",3,"inform","session"
"insist can",3,"insist","can"
"instal new",3,"instal","new"
"interest just",3,"interest","just"
"introduc bill",3,"introduc","bill"
"invent new",3,"invent","new"
"investig said",3,"investig","said"
"investor like",3,"investor","like"
"issu mani",3,"issu","mani"
"issu now",3,"issu","now"
"issu said",3,"issu","said"
"ive also",3,"ive","also"
"ive develop",3,"ive","develop"
"ive found",3,"ive","found"
"ive just",3,"ive","just"
"ive known",3,"ive","known"
"ive made",3,"ive","made"
"ive play",3,"ive","play"
"ive work",3,"ive","work"
"jean rhys",3,"jean","rhys"
"jeremi lin",3,"jeremi","lin"
"job can",3,"job","can"
"job growth",3,"job","growth"
"job loss",3,"job","loss"
"john kasich",3,"john","kasich"
"john mccain",3,"john","mccain"
"join club",3,"join","club"
"journal health",3,"journal","health"
"judg joan",3,"judg","joan"
"judici system",3,"judici","system"
"juli th",3,"juli","th"
"jump feet",3,"jump","feet"
"june nd",3,"june","nd"
"june u",3,"june","u"
"junior colleg",3,"junior","colleg"
"junior seau",3,"junior","seau"
"junk food",3,"junk","food"
"just becam",3,"just","becam"
"just begin",3,"just","begin"
"just begun",3,"just","begun"
"just best",3,"just","best"
"just didnt",3,"just","didnt"
"just differ",3,"just","differ"
"just doesnt",3,"just","doesnt"
"just easier",3,"just","easier"
"just follow",3,"just","follow"
"just great",3,"just","great"
"just hard",3,"just","hard"
"just hate",3,"just","hate"
"just havent",3,"just","havent"
"just high",3,"just","high"
"just imagin",3,"just","imagin"
"just import",3,"just","import"
"just just",3,"just","just"
"just kid",3,"just","kid"
"just last",3,"just","last"
"just left",3,"just","left"
"just minut",3,"just","minut"
"just never",3,"just","never"
"just opposit",3,"just","opposit"
"just percent",3,"just","percent"
"just play",3,"just","play"
"just quick",3,"just","quick"
"just remind",3,"just","remind"
"just return",3,"just","return"
"just said",3,"just","said"
"just seen",3,"just","seen"
"just short",3,"just","short"
"just stop",3,"just","stop"
"just thought",3,"just","thought"
"just throw",3,"just","throw"
"just tweet",3,"just","tweet"
"just walk",3,"just","walk"
"just went",3,"just","went"
"justic depart",3,"justic","depart"
"justic said",3,"justic","said"
"justic system",3,"justic","system"
"keep come",3,"keep","come"
"keep way",3,"keep","way"
"keep work",3,"keep","work"
"kid school",3,"kid","school"
"kid will",3,"kid","will"
"kill peopl",3,"kill","peopl"
"kind like",3,"kind","like"
"kind thing",3,"kind","thing"
"kind way",3,"kind","way"
"kinda like",3,"kinda","like"
"king crimson",3,"king","crimson"
"knew babi",3,"knew","babi"
"knew someth",3,"knew","someth"
"know anyth",3,"know","anyth"
"know anyway",3,"know","anyway"
"know better",3,"know","better"
"know ever",3,"know","ever"
"know exact",3,"know","exact"
"know experi",3,"know","experi"
"know feel",3,"know","feel"
"know goe",3,"know","goe"
"know happen",3,"know","happen"
"know hell",3,"know","hell"
"know made",3,"know","made"
"know might",3,"know","might"
"know need",3,"know","need"
"know sure",3,"know","sure"
"know u",3,"know","u"
"know what",3,"know","what"
"know whether",3,"know","whether"
"know work",3,"know","work"
"know year",3,"know","year"
"know yet",3,"know","yet"
"know youv",3,"know","youv"
"knowledg power",3,"knowledg","power"
"labor day",3,"labor","day"
"laden death",3,"laden","death"
"ladi gaga",3,"ladi","gaga"
"lake oswego",3,"lake","oswego"
"lake saint",3,"lake","saint"
"larg bowl",3,"larg","bowl"
"larg enough",3,"larg","enough"
"last book",3,"last","book"
"last decad",3,"last","decad"
"last forev",3,"last","forev"
"last four",3,"last","four"
"last game",3,"last","game"
"last minut",3,"last","minut"
"last remain",3,"last","remain"
"last resort",3,"last","resort"
"last saturday",3,"last","saturday"
"last seven",3,"last","seven"
"last tuesday",3,"last","tuesday"
"last tweet",3,"last","tweet"
"later mother",3,"later","mother"
"later time",3,"later","time"
"laugh boy",3,"laugh","boy"
"lead us",3,"lead","us"
"leader han",3,"leader","han"
"leagu game",3,"leagu","game"
"lean forward",3,"lean","forward"
"learn new",3,"learn","new"
"learn now",3,"learn","now"
"least good",3,"least","good"
"least like",3,"least","like"
"least year",3,"least","year"
"leav comment",3,"leav","comment"
"leav mani",3,"leav","mani"
"left arm",3,"left","arm"
"left contract",3,"left","contract"
"left like",3,"left","like"
"left new",3,"left","new"
"left third",3,"left","third"
"left turn",3,"left","turn"
"lemonad stand",3,"lemonad","stand"
"less interest",3,"less","interest"
"less less",3,"less","less"
"less three",3,"less","three"
"less two",3,"less","two"
"let cool",3,"let","cool"
"let hope",3,"let","hope"
"let keep",3,"let","keep"
"let put",3,"let","put"
"letter number",3,"letter","number"
"level one",3,"level","one"
"lgbt communiti",3,"lgbt","communiti"
"librari system",3,"librari","system"
"life can",3,"life","can"
"life go",3,"life","go"
"life insur",3,"life","insur"
"life time",3,"life","time"
"life today",3,"life","today"
"light day",3,"light","day"
"light one",3,"light","one"
"like bake",3,"like","bake"
"like boy",3,"like","boy"
"like call",3,"like","call"
"like chicken",3,"like","chicken"
"like come",3,"like","come"
"like creat",3,"like","creat"
"like dog",3,"like","dog"
"like everyon",3,"like","everyon"
"like first",3,"like","first"
"like fun",3,"like","fun"
"like got",3,"like","got"
"like great",3,"like","great"
"like guy",3,"like","guy"
"like hear",3,"like","hear"
"like help",3,"like","help"
"like home",3,"like","home"
"like idea",3,"like","idea"
"like lose",3,"like","lose"
"like mad",3,"like","mad"
"like man",3,"like","man"
"like mention",3,"like","mention"
"like mix",3,"like","mix"
"like need",3,"like","need"
"like person",3,"like","person"
"like place",3,"like","place"
"like point",3,"like","point"
"like right",3,"like","right"
"like said",3,"like","said"
"like say",3,"like","say"
"like someth",3,"like","someth"
"like take",3,"like","take"
"like talk",3,"like","talk"
"like time",3,"like","time"
"like total",3,"like","total"
"like use",3,"like","use"
"like usual",3,"like","usual"
"like wait",3,"like","wait"
"like way",3,"like","way"
"like well",3,"like","well"
"like wonder",3,"like","wonder"
"like yes",3,"like","yes"
"lime juic",3,"lime","juic"
"line coach",3,"line","coach"
"line paper",3,"line","paper"
"line parchment",3,"line","parchment"
"line s",3,"line","s"
"lion king",3,"lion","king"
"listen music",3,"listen","music"
"littl differ",3,"littl","differ"
"littl doubt",3,"littl","doubt"
"littl harder",3,"littl","harder"
"littl left",3,"littl","left"
"littl less",3,"littl","less"
"littl secret",3,"littl","secret"
"live benefit",3,"live","benefit"
"live littl",3,"live","littl"
"live london",3,"live","london"
"live long",3,"live","long"
"live poverti",3,"live","poverti"
"live today",3,"live","today"
"live without",3,"live","without"
"live world",3,"live","world"
"local artist",3,"local","artist"
"local band",3,"local","band"
"local busi",3,"local","busi"
"local govern",3,"local","govern"
"local nation",3,"local","nation"
"local offici",3,"local","offici"
"locker room",3,"locker","room"
"lol good",3,"lol","good"
"lol rt",3,"lol","rt"
"long histori",3,"long","histori"
"long long",3,"long","long"
"long overdu",3,"long","overdu"
"long walk",3,"long","walk"
"longtim friend",3,"longtim","friend"
"look beauti",3,"look","beauti"
"look better",3,"look","better"
"look face",3,"look","face"
"look issu",3,"look","issu"
"look left",3,"look","left"
"look photo",3,"look","photo"
"look place",3,"look","place"
"look thing",3,"look","thing"
"lord jesus",3,"lord","jesus"
"lose first",3,"lose","first"
"lose track",3,"lose","track"
"lost friend",3,"lost","friend"
"lost job",3,"lost","job"
"lost percent",3,"lost","percent"
"lot better",3,"lot","better"
"lot differ",3,"lot","differ"
"lot even",3,"lot","even"
"lot thing",3,"lot","thing"
"lot water",3,"lot","water"
"lot women",3,"lot","women"
"love alway",3,"love","alway"
"love even",3,"love","even"
"love find",3,"love","find"
"love get",3,"love","get"
"love hate",3,"love","hate"
"love im",3,"love","im"
"love know",3,"love","know"
"love paper",3,"love","paper"
"love parent",3,"love","parent"
"love read",3,"love","read"
"love someon",3,"love","someon"
"love spend",3,"love","spend"
"love talk",3,"love","talk"
"love teach",3,"love","teach"
"love time",3,"love","time"
"love u",3,"love","u"
"love will",3,"love","will"
"love write",3,"love","write"
"lower tax",3,"lower","tax"
"luther king",3,"luther","king"
"made commit",3,"made","commit"
"made good",3,"made","good"
"made great",3,"made","great"
"made last",3,"made","last"
"made list",3,"made","list"
"made mistak",3,"made","mistak"
"made percent",3,"made","percent"
"made sens",3,"made","sens"
"made trip",3,"made","trip"
"made want",3,"made","want"
"magic creatur",3,"magic","creatur"
"main charact",3,"main","charact"
"main cours",3,"main","cours"
"main street",3,"main","street"
"major citi",3,"major","citi"
"make apolog",3,"make","apolog"
"make birthday",3,"make","birthday"
"make chang",3,"make","chang"
"make difficult",3,"make","difficult"
"make final",3,"make","final"
"make fun",3,"make","fun"
"make happen",3,"make","happen"
"make interest",3,"make","interest"
"make just",3,"make","just"
"make list",3,"make","list"
"make live",3,"make","live"
"make million",3,"make","million"
"make peopl",3,"make","peopl"
"make plan",3,"make","plan"
"make play",3,"make","play"
"make room",3,"make","room"
"make salsa",3,"make","salsa"
"make sound",3,"make","sound"
"make stori",3,"make","stori"
"make use",3,"make","use"
"male femal",3,"male","femal"
"man cite",3,"man","cite"
"man done",3,"man","done"
"man life",3,"man","life"
"man take",3,"man","take"
"man want",3,"man","want"
"man whose",3,"man","whose"
"man will",3,"man","will"
"manglik dosh",3,"manglik","dosh"
"mani case",3,"mani","case"
"mani differ",3,"mani","differ"
"mani idea",3,"mani","idea"
"mani item",3,"mani","item"
"mani reason",3,"mani","reason"
"mani thank",3,"mani","thank"
"march can",3,"march","can"
"marcus cambi",3,"marcus","cambi"
"marin corp",3,"marin","corp"
"mark first",3,"mark","first"
"market valu",3,"market","valu"
"martin freeman",3,"martin","freeman"
"martin luther",3,"martin","luther"
"matter hard",3,"matter","hard"
"matter mani",3,"matter","mani"
"max payn",3,"max","payn"
"may abl",3,"may","abl"
"may also",3,"may","also"
"may alway",3,"may","alway"
"may go",3,"may","go"
"may like",3,"may","like"
"may need",3,"may","need"
"may provid",3,"may","provid"
"may see",3,"may","see"
"may seem",3,"may","seem"
"may st",3,"may","st"
"may still",3,"may","still"
"may will",3,"may","will"
"mayb can",3,"mayb","can"
"mayb ill",3,"mayb","ill"
"mayb one",3,"mayb","one"
"mayb that",3,"mayb","that"
"mayor candid",3,"mayor","candid"
"mcmillan said",3,"mcmillan","said"
"mean everyth",3,"mean","everyth"
"mean like",3,"mean","like"
"mean lot",3,"mean","lot"
"mean much",3,"mean","much"
"mean one",3,"mean","one"
"mean realli",3,"mean","realli"
"mean see",3,"mean","see"
"mean take",3,"mean","take"
"meat loaf",3,"meat","loaf"
"medic care",3,"medic","care"
"medic offic",3,"medic","offic"
"medic research",3,"medic","research"
"medic school",3,"medic","school"
"meet everi",3,"meet","everi"
"meet friday",3,"meet","friday"
"meet will",3,"meet","will"
"member parti",3,"member","parti"
"memori know",3,"memori","know"
"men women",3,"men","women"
"menu consist",3,"menu","consist"
"meter will",3,"meter","will"
"metropolitan area",3,"metropolitan","area"
"mid atlant",3,"mid","atlant"
"middl east",3,"middl","east"
"might happen",3,"might","happen"
"might just",3,"might","just"
"might like",3,"might","like"
"might think",3,"might","think"
"mile north",3,"mile","north"
"million accord",3,"million","accord"
"million annual",3,"million","annual"
"million citi",3,"million","citi"
"million renov",3,"million","renov"
"million tax",3,"million","tax"
"minimum wage",3,"minimum","wage"
"minnesota hous",3,"minnesota","hous"
"minut drive",3,"minut","drive"
"minut hour",3,"minut","hour"
"minut look",3,"minut","look"
"minut play",3,"minut","play"
"minut show",3,"minut","show"
"missouri state",3,"missouri","state"
"mix togeth",3,"mix","togeth"
"mixtur stir",3,"mixtur","stir"
"mmfservic h",3,"mmfservic","h"
"mobil app",3,"mobil","app"
"mom came",3,"mom","came"
"monday last",3,"monday","last"
"money money",3,"money","money"
"money rais",3,"money","rais"
"month day",3,"month","day"
"month old",3,"month","old"
"moral wrong",3,"moral","wrong"
"morn good",3,"morn","good"
"mount oliv",3,"mount","oliv"
"mountain guid",3,"mountain","guid"
"mouth feel",3,"mouth","feel"
"mouth like",3,"mouth","like"
"move along",3,"move","along"
"move back",3,"move","back"
"move beyond",3,"move","beyond"
"move next",3,"move","next"
"move portland",3,"move","portland"
"movi ever",3,"movi","ever"
"mr edward",3,"mr","edward"
"much anyth",3,"much","anyth"
"much bigger",3,"much","bigger"
"much care",3,"much","care"
"much differ",3,"much","differ"
"much everi",3,"much","everi"
"much follow",3,"much","follow"
"much im",3,"much","im"
"much make",3,"much","make"
"much possibl",3,"much","possibl"
"much rather",3,"much","rather"
"much u",3,"much","u"
"much work",3,"much","work"
"much wors",3,"much","wors"
"multipl time",3,"multipl","time"
"murder charg",3,"murder","charg"
"music day",3,"music","day"
"music video",3,"music","video"
"must give",3,"must","give"
"mycoplasma pneumonia",3,"mycoplasma","pneumonia"
"n roll",3,"n","roll"
"nanci pelosi",3,"nanci","pelosi"
"napa valley",3,"napa","valley"
"nation championship",3,"nation","championship"
"nation park",3,"nation","park"
"nation televis",3,"nation","televis"
"nd rd",3,"nd","rd"
"near billion",3,"near","billion"
"near half",3,"near","half"
"near home",3,"near","home"
"near year",3,"near","year"
"need call",3,"need","call"
"need care",3,"need","care"
"need done",3,"need","done"
"need good",3,"need","good"
"need got",3,"need","got"
"need info",3,"need","info"
"need least",3,"need","least"
"need life",3,"need","life"
"need littl",3,"need","littl"
"need open",3,"need","open"
"need read",3,"need","read"
"need someon",3,"need","someon"
"need spend",3,"need","spend"
"need stay",3,"need","stay"
"need strong",3,"need","strong"
"need talk",3,"need","talk"
"need two",3,"need","two"
"need understand",3,"need","understand"
"need work",3,"need","work"
"need worri",3,"need","worri"
"needless say",3,"needless","say"
"never chang",3,"never","chang"
"never end",3,"never","end"
"never ever",3,"never","ever"
"never expect",3,"never","expect"
"never felt",3,"never","felt"
"never give",3,"never","give"
"never imagin",3,"never","imagin"
"never just",3,"never","just"
"never mention",3,"never","mention"
"never quit",3,"never","quit"
"never take",3,"never","take"
"never want",3,"never","want"
"new apart",3,"new","apart"
"new brunswick",3,"new","brunswick"
"new busi",3,"new","busi"
"new develop",3,"new","develop"
"new ep",3,"new","ep"
"new friend",3,"new","friend"
"new game",3,"new","game"
"new govern",3,"new","govern"
"new group",3,"new","group"
"new high",3,"new","high"
"new hope",3,"new","hope"
"new hous",3,"new","hous"
"new mexico",3,"new","mexico"
"new polici",3,"new","polici"
"new post",3,"new","post"
"new seri",3,"new","seri"
"new servic",3,"new","servic"
"new shop",3,"new","shop"
"new stadium",3,"new","stadium"
"new standard",3,"new","standard"
"new summer",3,"new","summer"
"new twitter",3,"new","twitter"
"new yorker",3,"new","yorker"
"newport beach",3,"newport","beach"
"news releas",3,"news","releas"
"next morn",3,"next","morn"
"next school",3,"next","school"
"next thing",3,"next","thing"
"night come",3,"night","come"
"night day",3,"night","day"
"night littl",3,"night","littl"
"night move",3,"night","move"
"night shoot",3,"night","shoot"
"night sleep",3,"night","sleep"
"nikon d",3,"nikon","d"
"north american",3,"north","american"
"north wall",3,"north","wall"
"note ive",3,"note","ive"
"noth can",3,"noth","can"
"novemb ballot",3,"novemb","ballot"
"now also",3,"now","also"
"now back",3,"now","back"
"now becom",3,"now","becom"
"now come",3,"now","come"
"now dont",3,"now","dont"
"now end",3,"now","end"
"now even",3,"now","even"
"now feel",3,"now","feel"
"now four",3,"now","four"
"now kind",3,"now","kind"
"now live",3,"now","live"
"now play",3,"now","play"
"now think",3,"now","think"
"now tri",3,"now","tri"
"now understand",3,"now","understand"
"nowher near",3,"nowher","near"
"nuclear weapon",3,"nuclear","weapon"
"obama say",3,"obama","say"
"occur everi",3,"occur","everi"
"offic head",3,"offic","head"
"offic involv",3,"offic","involv"
"offic say",3,"offic","say"
"offici visit",3,"offici","visit"
"often fall",3,"often","fall"
"often see",3,"often","see"
"oh boy",3,"oh","boy"
"oh good",3,"oh","good"
"oh know",3,"oh","know"
"oh thank",3,"oh","thank"
"ohio start",3,"ohio","start"
"ok need",3,"ok","need"
"old friend",3,"old","friend"
"old ladi",3,"old","ladi"
"old new",3,"old","new"
"old school",3,"old","school"
"older sister",3,"older","sister"
"one album",3,"one","album"
"one amaz",3,"one","amaz"
"one children",3,"one","children"
"one decid",3,"one","decid"
"one dont",3,"one","dont"
"one everi",3,"one","everi"
"one exampl",3,"one","exampl"
"one free",3,"one","free"
"one hour",3,"one","hour"
"one interest",3,"one","interest"
"one keep",3,"one","keep"
"one listen",3,"one","listen"
"one littl",3,"one","littl"
"one love",3,"one","love"
"one morn",3,"one","morn"
"one must",3,"one","must"
"one never",3,"one","never"
"one peopl",3,"one","peopl"
"one question",3,"one","question"
"one recent",3,"one","recent"
"one student",3,"one","student"
"one take",3,"one","take"
"one think",3,"one","think"
"one use",3,"one","use"
"one wait",3,"one","wait"
"one win",3,"one","win"
"one word",3,"one","word"
"one work",3,"one","work"
"onto bake",3,"onto","bake"
"open busi",3,"open","busi"
"open ceremoni",3,"open","ceremoni"
"open first",3,"open","first"
"open gay",3,"open","gay"
"open mouth",3,"open","mouth"
"open new",3,"open","new"
"open one",3,"open","one"
"open public",3,"open","public"
"open said",3,"open","said"
"open wide",3,"open","wide"
"open window",3,"open","window"
"oper right",3,"oper","right"
"order custom",3,"order","custom"
"order new",3,"order","new"
"oscar nomin",3,"oscar","nomin"
"other dont",3,"other","dont"
"other like",3,"other","like"
"other said",3,"other","said"
"other will",3,"other","will"
"oud geuz",3,"oud","geuz"
"outsid us",3,"outsid","us"
"outstand scott",3,"outstand","scott"
"pacif northwest",3,"pacif","northwest"
"palo alto",3,"palo","alto"
"paper can",3,"paper","can"
"paper make",3,"paper","make"
"paper scissor",3,"paper","scissor"
"paper towel",3,"paper","towel"
"parchment paper",3,"parchment","paper"
"parent met",3,"parent","met"
"park garag",3,"park","garag"
"park juli",3,"park","juli"
"park june",3,"park","june"
"park recreat",3,"park","recreat"
"parmesan chees",3,"parmesan","chees"
"part histori",3,"part","histori"
"part one",3,"part","one"
"part realli",3,"part","realli"
"part time",3,"part","time"
"part will",3,"part","will"
"pass especi",3,"pass","especi"
"pass law",3,"pass","law"
"pass one",3,"pass","one"
"past decad",3,"past","decad"
"past five",3,"past","five"
"past present",3,"past","present"
"past sever",3,"past","sever"
"past three",3,"past","three"
"patrick day",3,"patrick","day"
"pay bill",3,"pay","bill"
"pay debt",3,"pay","debt"
"pay million",3,"pay","million"
"pdt washington",3,"pdt","washington"
"peac love",3,"peac","love"
"pension benefit",3,"pension","benefit"
"peopl abl",3,"peopl","abl"
"peopl attend",3,"peopl","attend"
"peopl day",3,"peopl","day"
"peopl enjoy",3,"peopl","enjoy"
"peopl ever",3,"peopl","ever"
"peopl everi",3,"peopl","everi"
"peopl expect",3,"peopl","expect"
"peopl may",3,"peopl","may"
"peopl mayb",3,"peopl","mayb"
"peopl right",3,"peopl","right"
"peopl say",3,"peopl","say"
"peopl start",3,"peopl","start"
"peopl stop",3,"peopl","stop"
"peopl use",3,"peopl","use"
"peopl usual",3,"peopl","usual"
"peopl visit",3,"peopl","visit"
"peopl world",3,"peopl","world"
"per week",3,"per","week"
"percent got",3,"percent","got"
"percent million",3,"percent","million"
"perfect day",3,"perfect","day"
"perfect fit",3,"perfect","fit"
"perfect game",3,"perfect","game"
"perfect gift",3,"perfect","gift"
"perfect love",3,"perfect","love"
"perform best",3,"perform","best"
"person favorit",3,"person","favorit"
"person like",3,"person","like"
"person time",3,"person","time"
"person walk",3,"person","walk"
"person want",3,"person","want"
"pet peev",3,"pet","peev"
"philadelphia flyer",3,"philadelphia","flyer"
"phone interview",3,"phone","interview"
"phone line",3,"phone","line"
"photo taken",3,"photo","taken"
"piggi bank",3,"piggi","bank"
"pink ribbon",3,"pink","ribbon"
"pinot noir",3,"pinot","noir"
"place ballot",3,"place","ballot"
"place everi",3,"place","everi"
"place peopl",3,"place","peopl"
"place said",3,"place","said"
"place set",3,"place","set"
"place will",3,"place","will"
"plan just",3,"plan","just"
"plan now",3,"plan","now"
"plan visit",3,"plan","visit"
"plan will",3,"plan","will"
"plant seed",3,"plant","seed"
"plastic bag",3,"plastic","bag"
"play around",3,"play","around"
"play first",3,"play","first"
"play good",3,"play","good"
"play man",3,"play","man"
"play much",3,"play","much"
"play thing",3,"play","thing"
"play time",3,"play","time"
"play tonight",3,"play","tonight"
"play will",3,"play","will"
"play work",3,"play","work"
"player ive",3,"player","ive"
"playoff seri",3,"playoff","seri"
"pleas help",3,"pleas","help"
"pleas join",3,"pleas","join"
"pleas let",3,"pleas","let"
"pleas make",3,"pleas","make"
"pleas pray",3,"pleas","pray"
"pleas turn",3,"pleas","turn"
"pleas visit",3,"pleas","visit"
"pleasant hill",3,"pleasant","hill"
"pm first",3,"pm","first"
"pm sun",3,"pm","sun"
"pm sunday",3,"pm","sunday"
"point im",3,"point","im"
"point one",3,"point","one"
"point will",3,"point","will"
"polic call",3,"polic","call"
"polic fire",3,"polic","fire"
"polic investig",3,"polic","investig"
"polic say",3,"polic","say"
"polit speech",3,"polit","speech"
"poor littl",3,"poor","littl"
"pop art",3,"pop","art"
"popular music",3,"popular","music"
"posit thing",3,"posit","thing"
"post just",3,"post","just"
"post offic",3,"post","offic"
"post pictur",3,"post","pictur"
"post well",3,"post","well"
"potato onion",3,"potato","onion"
"potti train",3,"potti","train"
"powder sugar",3,"powder","sugar"
"power line",3,"power","line"
"power power",3,"power","power"
"preheat oven",3,"preheat","oven"
"prepar big",3,"prepar","big"
"prescript drug",3,"prescript","drug"
"presid ceo",3,"presid","ceo"
"presid health",3,"presid","health"
"presid said",3,"presid","said"
"presidenti elect",3,"presidenti","elect"
"pretti nice",3,"pretti","nice"
"price point",3,"price","point"
"price will",3,"price","will"
"princ william",3,"princ","william"
"probabl will",3,"probabl","will"
"problem can",3,"problem","can"
"problem solv",3,"problem","solv"
"process like",3,"process","like"
"process take",3,"process","take"
"process will",3,"process","will"
"program can",3,"program","can"
"project million",3,"project","million"
"project will",3,"project","will"
"pronounc dead",3,"pronounc","dead"
"prosecutor offic",3,"prosecutor","offic"
"public access",3,"public","access"
"public hear",3,"public","hear"
"public relat",3,"public","relat"
"public space",3,"public","space"
"public worker",3,"public","worker"
"publish new",3,"publish","new"
"pull away",3,"pull","away"
"pull back",3,"pull","back"
"punch kick",3,"punch","kick"
"push back",3,"push","back"
"put asid",3,"put","asid"
